Food,URL,ExtractedPrice,PricePerAmount,ExtractedProteinPer100g,ExtractedKJPer100g,ProteinPer100g,KJPer100g,CaloriesPer100g,ProteinPer100Calorie,PoundsPer (String),PoundsPer,PerAmount,PoundsPer100g,Price,MultiplesOf100g,perEach/per100g,TotalCalories,TotalProtein,RankWeighting,TimesEaten,PoundsPer1000Calorie,Checked,Available,Ignore
No.1 Living Water Kefir Yuzu & Mint 330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/no1-living-water-kefir-lemon-330ml,ï¿½2.00,61p / 100ml,0,44256,0,44256,10577.43786,0,61p ,0.61, 100ml,0.61,2,3.278688525,,34680.12413,0,,,0.05766992,,,
Flawsome! Orange Cold Pressed Juice 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/flawsome%21-orange-cold-pressed-juice-750ml,ï¿½3.00,40p / 100ml,0,163KJ (39kcal),0,163,38.95793499,0,40p ,0.4, 100ml,0.4,3,7.5,,292.1845124,0,,,10.26748466,,,
Flawsome! Sweet & Sour Apple Juice 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/flawsome%21-sweet-sour-apple-juice-750ml,ï¿½3.00,40p / 100ml,0,201KJ (47kcal),0,201,48.04015296,0,40p ,0.4, 100ml,0.4,3,7.5,,360.3011472,0,,,8.326368159,,,
The Soho Juice Co. Cucumber  Mint Lemon & Lime 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/the-soho-juice-co-cucumber-mint-lemon-lime-250ml,ï¿½1.50,42p / 70cl,0g,18kcal,0,75.312,18,0,42p ,0.42, 70cl,0.6,1.5,2.5,,45,0,,,33.33333333,,,
The Soho Juice Co. Blood Orange Raspberry & Ginger 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/the-soho-juice-co-blood-orange-raspberry-ginger-250ml,ï¿½1.50,42p / 70cl,0g,20kcal,0,83.68,20,0,42p ,0.42, 70cl,0.6,1.5,2.5,,50,0,,,30,,,
The Soho Juice Co. Apple  Honey & Lemon 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/the-soho-juice-co-apple-honey-lemon-250ml,ï¿½1.50,42p / 70cl,0g,19kcal,0,79.496,19,0,42p ,0.42, 70cl,0.6,1.5,2.5,,47.5,0,,,31.57894737,,,
Rude Health Organic Ultimate Almond Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rude-health-organic-ultimate-almond-drink-1l,ï¿½2.50,ï¿½2.50 / ltr,1.5g,38 kcal / 157 kJ ,1.5,157,37.52390057,3.997452229,ï¿½2.50 ,2.5, ltr,0.25,2.5,10,,375.2390057,15,,,6.662420382,,,
Goodlife Falafel with Chickpea Cumin & Coriander x14 280g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/goodlife-falafel-with-chickpea--cumin---coriander-x14-280g,ï¿½1.80,ï¿½6.43 / kg,7.9g,207kcal,7.9,866.088,207,3.816425121,ï¿½6.43 ,6.43, kg,0.643,1.8,2.799377916,,579.4712286,22.11508554,,,3.106280193,,,
Goodlife Nut Burger,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/goodlife-nut-burger,ï¿½2.00,ï¿½10.00 / kg,5.3g,246 kcal,5.3,1029.264,246,2.154471545,ï¿½10.00 ,10, kg,1,2,2,,492,10.6,,,4.06504065,,,
The Coconut Collaborative Chocolate Melt in the Middle Puddings 2x90g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coconut-collab-melt-in-the-middle-2x90g,ï¿½3.00,ï¿½1.67 / 100g,3.2g,384kcal,3.2,1606.656,384,0.833333333,ï¿½1.67 ,1.67, 100g,1.67,3,1.796407186,,689.8203593,5.748502994,,,4.348958333,,,
Rude Health Almond Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rude-health-uht-almond-milk-1l,ï¿½1.50,ï¿½1.50 / ltr,0.2g,56kcal / 237kJ,0.2,237,56.64435947,0.353080169,ï¿½1.50 ,1.5, ltr,0.15,1.5,10,,566.4435947,2,,,2.648101266,,,
Rude Health Coconut Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rude-health-coconut-drink-1l,ï¿½1.50,ï¿½1.50 / ltr,0.1g,53 kcal,0.1,221.752,53,0.188679245,ï¿½1.50 ,1.5, ltr,0.15,1.5,10,,530,1,,,2.830188679,,,
Rude Health Brown Rice Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rude-health-uht-brown-rice-drink-1l,ï¿½1.50,ï¿½1.50 / ltr,0.1g,60kcal / 257kJ,0.1,257,61.42447419,0.162801556,ï¿½1.50 ,1.5, ltr,0.15,1.5,10,,614.2447419,1,,,2.442023346,,,
Brite Focus Pineapple & Mango 330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/brite-focus-pineapple-mango-330ml,ï¿½1.80,55p / 100ml,0g,19kcal/82kJ,0,82,19.59847036,0,55p ,0.55, 100ml,0.55,1.8,3.272727273,,64.14044846,0,,,28.06341463,,,
Brite Focus Raspberry & Mint 330ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/brite-focus-raspberry-mint-330ml,ï¿½1.80,55p / 100ml,0g,20kcal/83kJ,0,83,19.8374761,0,55p ,0.55, 100ml,0.55,1.8,3.272727273,,64.92264905,0,,,27.7253012,,,
G's Little Mixed Leaves 125g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/gs-little-mixed-leaves-125g,ï¿½1.20,96p / 100g,2.5,7.9,2.5,7.9,1.888145316,132.4050633,96p ,0.96, 100g,0.96,1.2,1.25,,2.360181644,3.125,,,508.435443,,,
Nairn's Gluten Free Blueberry Oats Your Way 375g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/nairns-gluten-free-blueberry-oats-your-way-375g,ï¿½2.80,86p / 100g,12.4g,157kJ,12.4,157,37.52390057,33.0456051,86p ,0.86, 100g,0.86,2.8,3.255813953,,122.1708391,40.37209302,,,22.91872611,,,
SiS GO Caffeine Shot Cola 60ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/caffeine-shot-cola-60ml,ï¿½2.25,ï¿½3.75 / 100ml,3.37g,63kj/15kcal,3.37,63,15.05736138,22.38107936,ï¿½3.75 ,3.75, 100ml,3.75,2.25,0.6,,9.034416826,2.022,,,249.047619,,,
Phd Smart Plant Eton Mess Powder 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/phd-smart-plant-eton-mess-powder-500g,ï¿½12.00,ï¿½2.40 / 100g,80g,1623kJ/383kcal,80,1623,387.9063098,20.62353666,ï¿½2.40 ,2.4, 100g,2.4,12,5,,1939.531549,400,,,6.187060998,,,1
G's Little Leaves Wild Rocket 60g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/gs-little-leaves-wild-rocket-60g,85p,ï¿½1.42 / 100g,3.6,74,3.6,74,17.68642447,20.35459459,ï¿½1.42 ,1.42, 100g,1.42,0.85,0.598591549,,10.58694423,2.154929577,,,80.28756757,,,
PhD Smart Protein Powder Plant Chocolate Cookie 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/phd-smart-protein-plant-chocolate-cookie-powder-500g,ï¿½12.00,ï¿½2.40 / 100g,79g,1630kJ/,79,1630,389.5793499,20.27828221,ï¿½2.40 ,2.4, 100g,2.4,12,5,,1947.89675,395,,,6.160490797,,,1
Vivera Veggie Bacon Pieces 175g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/vivera-veggie-bacon-pieces-175g,ï¿½3.00,ï¿½17.14 / kg,17 g,366 kJ / 87 kcal,17,366,87.47609943,19.43387978,ï¿½17.14 ,17.14, kg,1.714,3,1.750291715,,153.1086921,29.75495916,,,19.5939235,,,
Naturya Organic Spirulina Powder 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/naturya-spirulina--organic-100g,ï¿½3.75,ï¿½3.75 / 100g,67 g,1462 kJ,67,1462,349.4263862,19.17428181,ï¿½3.75 ,3.75, 100g,3.75,3.75,1,,349.4263862,67,,,10.73187414,,,
Vivera Plant Mince 220g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/vivera-veggie-mince-220g,ï¿½2.50,ï¿½11.36 / kg,20 g,463 kJ / 110 kcal,20,463,110.6596558,18.07343413,ï¿½11.36 ,11.36, kg,1.136,2.5,2.200704225,,243.5291722,44.01408451,,,10.26571058,,,
Misfits Nutrition Chocolate Protein Multitasker Vegan 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/missfits-nutrition-protein-multitasker-chocolate-flavour-500g,ï¿½20.00,ï¿½4.00 / 100g,68g,1583kJ / 378cal,68,1583,378.3460803,17.97296273,ï¿½4.00 ,4, 100g,4,20,5,,1891.730402,340,,,10.57233102,,,1
